date,temperature,humiditiy,luminosity
2019-12-11 14:45:09.994,22.2,,317
2019-12-11 14:45:12.272,22.2,,312
2019-12-11 14:45:14.548,22.2,,312
2019-12-11 14:45:16.826,22.2,,312
2019-12-11 14:45:19.103,22.2,,315
2019-12-11 14:45:21.381,22.2,,310
2019-12-11 14:45:23.657,22.2,,312
2019-12-11 14:45:25.935,22.2,,312
2019-12-11 14:45:28.211,22.3,,312
2019-12-11 14:45:30.489,22.2,,315
2019-12-11 14:45:32.767,22.2,,320
2019-12-11 14:45:35.048,22.2,,320
2019-12-11 14:45:37.325,22.2,,323
2019-12-11 14:45:39.603,22.3,,326
2019-12-11 14:45:41.880,22.3,,326
2019-12-11 14:45:44.157,22.2,,315
2019-12-11 14:45:46.435,22.2,,310
2019-12-11 14:45:48.710,22.2,,312
2019-12-11 14:45:50.988,22.2,,317
2019-12-11 14:45:53.265,22.2,,312
2019-12-11 14:45:55.542,22.2,,312
2019-12-11 14:45:57.820,22.2,,312
2019-12-11 14:46:00.097,22.2,,312
2019-12-11 14:46:02.374,22.3,,312
2019-12-11 14:46:04.651,22.2,,312
2019-12-11 14:46:06.928,22.2,,328
2019-12-11 14:46:09.206,22.3,,326
2019-12-11 14:46:11.484,22.3,,323
2019-12-11 14:46:13.761,22.2,,320
2019-12-11 14:46:16.037,22.2,,320
2019-12-11 14:46:18.314,22.2,,320
2019-12-11 14:46:20.592,22.2,,312
2019-12-11 14:46:22.874,22.2,,315
2019-12-11 14:46:25.151,22.2,,312
2019-12-11 14:46:27.428,22.2,,312
2019-12-11 14:46:29.706,22.2,,312
2019-12-11 14:46:31.982,22.2,,312
2019-12-11 14:46:34.260,22.2,,315
2019-12-11 14:46:36.537,22.2,,315
2019-12-11 14:46:38.815,22.2,,315
2019-12-11 14:46:41.091,22.2,,315
2019-12-11 14:46:43.369,22.2,,315
2019-12-11 14:46:45.646,22.2,,315
2019-12-11 14:46:47.925,22.2,,312
2019-12-11 14:46:50.202,22.2,,312
2019-12-11 14:46:52.478,22.2,,323
2019-12-11 14:46:54.759,22.1,,315
2019-12-11 14:46:57.037,22.1,,315
2019-12-11 14:46:59.314,22.1,,315
2019-12-11 14:47:01.591,22.2,,315
2019-12-11 14:47:03.868,22.2,,315
2019-12-11 14:47:06.145,22.2,,315
2019-12-11 14:47:08.422,22.1,,312
2019-12-11 14:47:10.700,22.2,,315
2019-12-11 14:47:12.978,22.2,,315
2019-12-11 14:47:15.255,22.2,,317
2019-12-11 14:47:17.532,22.2,,315
2019-12-11 14:47:19.809,22.2,,312
2019-12-11 14:47:22.087,22.2,,315
2019-12-11 14:47:24.365,22.2,,317
2019-12-11 14:47:26.641,22.2,,323
2019-12-11 14:47:28.919,22.2,,323
2019-12-11 14:47:31.195,22.3,,323
2019-12-11 14:47:33.478,22.3,,323
2019-12-11 14:47:35.755,22.1,,320
2019-12-11 14:47:38.032,22.2,,323
2019-12-11 14:47:40.308,22.2,,323
2019-12-11 14:47:42.587,22.2,,320
2019-12-11 14:47:44.864,22.2,,320
2019-12-11 14:47:47.140,22.3,,323
2019-12-11 14:47:49.417,22.2,,320
2019-12-11 14:47:51.695,22.2,,323
2019-12-11 14:47:53.972,22.3,,326
2019-12-11 14:47:56.249,22.2,,328
2019-12-11 14:47:58.526,22.3,,323
2019-12-11 14:48:00.804,22.4,,312
2019-12-11 14:48:03.082,22.2,,312
2019-12-11 14:48:05.359,22.3,,312
2019-12-11 14:48:07.639,22.2,,312
2019-12-11 14:48:09.917,22.2,,315
2019-12-11 14:48:12.194,22.2,,312
2019-12-11 14:48:14.472,22.2,,326
2019-12-11 14:48:16.748,22.2,,326
2019-12-11 14:48:19.027,22.3,,315
2019-12-11 14:48:21.303,22.3,,312
2019-12-11 14:48:23.582,22.2,,315
2019-12-11 14:48:25.859,22.2,,315
2019-12-11 14:48:28.135,22.2,,312
2019-12-11 14:48:30.412,22.2,,312
2019-12-11 14:48:32.690,22.2,,317
2019-12-11 14:48:34.967,22.2,,312
2019-12-11 14:48:37.245,22.2,,312
2019-12-11 14:48:39.521,22.2,,315
2019-12-11 14:48:41.799,22.2,,315
2019-12-11 14:48:44.076,22.1,,312
2019-12-11 14:48:46.354,22.2,,312
2019-12-11 14:48:49.336,22.1,,317
2019-12-11 14:48:51.150,22.1,,315
2019-12-11 14:48:53.189,22.1,,326
2019-12-11 14:49:04.771,22.1,,331
2019-12-11 14:49:04.771,22.1,,328
2019-12-11 14:49:04.772,22.1,,320
2019-12-11 14:49:04.772,22.1,,326
2019-12-11 14:49:04.772,22.1,,323
2019-12-11 14:49:11.285,22.2,,326
2019-12-11 14:49:11.286,22.1,,320
2019-12-11 14:49:11.408,22.1,,323
2019-12-11 14:49:13.694,22.1,,326
2019-12-11 14:49:16.068,22.1,,331
2019-12-11 14:49:18.239,22.2,,312
2019-12-11 14:49:20.521,22.1,,315
2019-12-11 14:49:22.797,22.1,,310
2019-12-11 14:49:27.808,22.1,,312
2019-12-11 14:49:27.812,22.1,,312
2019-12-11 14:49:29.631,22.1,,312
2019-12-11 14:49:31.906,22.1,,312
2019-12-11 14:49:34.184,22.1,,312
2019-12-11 14:49:36.462,22.2,,312
2019-12-11 14:49:38.738,22.1,,317
2019-12-11 14:49:41.015,22.1,,317
2019-12-11 14:49:43.294,22.0,,317
2019-12-11 14:49:45.571,22.1,,317
2019-12-11 14:49:47.848,22.1,,320
2019-12-11 14:49:50.125,22.2,,326
2019-12-11 14:49:52.403,22.2,,326
2019-12-11 14:49:54.680,22.2,,323
2019-12-11 14:49:56.957,22.3,,323
2019-12-11 14:49:59.233,22.2,,317
2019-12-11 14:50:01.512,22.2,,315
2019-12-11 14:50:03.793,22.2,,315
2019-12-11 14:50:06.071,22.2,,326
2019-12-11 14:50:08.347,22.2,,326
2019-12-11 14:50:10.624,22.1,,317
2019-12-11 14:50:12.901,22.1,,323
2019-12-11 14:50:15.179,22.2,,317
2019-12-11 14:50:17.456,22.2,,320
2019-12-11 14:50:19.733,22.2,,320
2019-12-11 14:50:22.010,22.2,,323
2019-12-11 14:50:24.289,22.2,,317
2019-12-11 14:50:26.566,22.2,,317
2019-12-11 14:50:28.843,22.2,,317
2019-12-11 14:50:31.120,22.2,,320
2019-12-11 14:50:33.397,22.2,,317
2019-12-11 14:50:35.678,22.2,,317
2019-12-11 14:50:37.957,22.2,,317
2019-12-11 14:50:40.233,22.2,,317
2019-12-11 14:50:42.511,22.2,,320
2019-12-11 14:50:44.788,22.2,,320
2019-12-11 14:50:47.065,22.2,,317
2019-12-11 14:50:49.342,22.2,,320
2019-12-11 14:50:51.619,22.2,,320
2019-12-11 14:50:53.896,22.2,,317
2019-12-11 14:50:56.174,22.2,,320
2019-12-11 14:50:58.451,22.2,,320
2019-12-11 14:51:00.729,22.2,,320
2019-12-11 14:51:03.007,22.3,,328
2019-12-11 14:51:05.283,22.2,,326
2019-12-11 14:51:07.561,22.3,,326
2019-12-11 14:51:09.837,22.2,,326
2019-12-11 14:51:12.115,22.2,,326
2019-12-11 14:51:14.393,22.3,,326
2019-12-11 14:51:16.669,22.2,,326
2019-12-11 14:51:18.947,22.2,,326
2019-12-11 14:51:21.228,22.2,,326
2019-12-11 14:51:23.505,22.2,,323
2019-12-11 14:51:25.783,22.2,,328
2019-12-11 14:51:28.059,22.2,,323
2019-12-11 14:51:30.337,22.1,,320
2019-12-11 14:51:32.614,22.2,,320
2019-12-11 14:51:34.891,22.2,,323
2019-12-11 14:51:37.170,22.2,,323
2019-12-11 14:51:39.446,22.2,,323
2019-12-11 14:51:41.724,22.3,,326
2019-12-11 14:51:44.001,22.2,,323
2019-12-11 14:51:46.278,22.2,,320
2019-12-11 14:51:48.555,22.2,,326
2019-12-11 14:51:50.832,22.3,,323
2019-12-11 14:51:53.109,22.2,,326
2019-12-11 14:51:55.386,22.3,,326
2019-12-11 14:51:57.664,22.2,,326
2019-12-11 14:51:59.942,22.1,,326
2019-12-11 14:52:02.218,22.1,,323
2019-12-11 14:52:04.499,22.2,,326
2019-12-11 14:52:06.778,22.2,,326
2019-12-11 14:52:09.055,22.2,,323
2019-12-11 14:52:11.332,22.2,,328
2019-12-11 14:52:13.609,22.2,,323
2019-12-11 14:52:15.886,22.1,,323
2019-12-11 14:52:18.164,22.1,,326
2019-12-11 14:52:20.440,22.2,,323
2019-12-11 14:52:22.718,22.2,,326
2019-12-11 14:52:24.996,22.1,,323
2019-12-11 14:52:27.272,22.2,,326
2019-12-11 14:52:29.550,22.2,,326
2019-12-11 14:52:31.827,22.2,,326
2019-12-11 14:52:34.104,22.1,,320
2019-12-11 14:52:36.386,22.3,,326
2019-12-11 14:52:38.664,22.2,,323
2019-12-11 14:52:40.940,22.1,,323
2019-12-11 14:52:43.219,22.2,,323
2019-12-11 14:52:45.495,22.2,,326
2019-12-11 14:52:47.773,22.2,,323
2019-12-11 14:52:50.049,22.1,,323
2019-12-11 14:52:52.326,21.9,,323
2019-12-11 14:52:54.604,22.1,,323
2019-12-11 14:52:56.882,22.2,,326
2019-12-11 14:52:59.158,22.1,,326
2019-12-11 14:53:01.436,22.1,,320
2019-12-11 14:53:03.714,22.0,,326
2019-12-11 14:53:05.991,22.1,,323
2019-12-11 14:53:08.267,22.1,,320
2019-12-11 14:53:10.545,22.2,,331
2019-12-11 14:53:12.822,22.0,,328
2019-12-11 14:53:15.100,22.1,,331
2019-12-11 14:53:17.381,22.1,,328
2019-12-11 14:53:19.658,22.1,,326
2019-12-11 14:53:21.935,22.0,,328
2019-12-11 14:53:24.213,22.1,,326
2019-12-11 14:53:26.490,22.1,,328
2019-12-11 14:53:28.768,22.1,,328
2019-12-11 14:53:31.044,22.2,,328
2019-12-11 14:53:33.321,22.1,,328
2019-12-11 14:53:35.599,22.1,,326
2019-12-11 14:53:37.876,22.1,,328
2019-12-11 14:53:40.153,22.1,,328
2019-12-11 14:53:42.431,22.0,,328
2019-12-11 14:53:44.707,22.0,,328
2019-12-11 14:53:46.985,22.1,,328
2019-12-11 14:53:49.262,21.9,,328
2019-12-11 14:53:51.539,22.0,,328
2019-12-11 14:53:53.817,22.0,,328
2019-12-11 14:53:56.094,22.0,,326
2019-12-11 14:53:58.372,22.0,,328
2019-12-11 14:54:00.649,22.1,,328
2019-12-11 14:54:02.930,22.0,,328
2019-12-11 14:54:05.207,21.9,,328
2019-12-11 14:54:07.485,22.1,,328
2019-12-11 14:54:09.762,22.0,,328
2019-12-11 14:54:12.039,22.0,,326
2019-12-11 14:54:14.317,22.0,,328
2019-12-11 14:54:16.594,22.1,,326
2019-12-11 14:54:18.872,22.0,,326
2019-12-11 14:54:21.147,22.0,,323
2019-12-11 14:54:23.425,22.0,,323
2019-12-11 14:54:25.702,22.1,,326
2019-12-11 14:54:27.980,22.0,,326
2019-12-11 14:54:30.258,22.1,,323
2019-12-11 14:54:32.534,22.1,,323
2019-12-11 14:54:34.812,22.2,,326
2019-12-11 14:54:37.089,22.1,,326
2019-12-11 14:54:39.366,22.0,,323
2019-12-11 14:54:41.644,22.1,,328
2019-12-11 14:54:43.920,22.1,,328
2019-12-11 14:54:46.198,22.1,,323
2019-12-11 14:54:48.481,22.2,,320
2019-12-11 14:54:50.757,22.2,,326
2019-12-11 14:54:53.034,22.1,,326
2019-12-11 14:54:55.312,22.1,,326
2019-12-11 14:54:57.589,22.1,,326
2019-12-11 14:54:59.866,22.1,,328
2019-12-11 14:55:02.143,22.1,,326
2019-12-11 14:55:04.420,22.1,,323
2019-12-11 14:55:06.697,22.1,,326
2019-12-11 14:55:08.976,22.0,,326
2019-12-11 14:55:11.252,22.1,,320
2019-12-11 14:55:13.529,22.1,,323
2019-12-11 14:55:15.806,22.0,,326
2019-12-11 14:55:18.084,22.0,,323
2019-12-11 14:55:20.361,22.0,,323
2019-12-11 14:55:22.638,22.1,,323
2019-12-11 14:55:24.915,22.1,,326
2019-12-11 14:55:27.193,22.0,,326
2019-12-11 14:55:29.470,22.0,,323
2019-12-11 14:55:31.748,22.0,,326
2019-12-11 14:55:34.025,22.0,,326
2019-12-11 14:55:36.303,22.0,,323
2019-12-11 14:55:38.579,22.0,,317
2019-12-11 14:55:40.861,22.1,,328
2019-12-11 14:55:43.137,22.0,,328
2019-12-11 14:55:45.415,22.0,,328
2019-12-11 14:55:47.692,22.0,,326
2019-12-11 14:55:49.971,22.1,,320
2019-12-11 14:55:52.248,22.0,,320
2019-12-11 14:55:54.525,22.0,,320
2019-12-11 14:55:56.802,22.1,,320
2019-12-11 14:55:59.080,22.0,,320
2019-12-11 14:56:01.357,22.1,,320
2019-12-11 14:56:03.635,22.1,,320
2019-12-11 14:56:05.911,22.0,,320
2019-12-11 14:56:08.188,22.1,,320
2019-12-11 14:56:10.466,22.1,,320
2019-12-11 14:56:12.743,22.1,,323
2019-12-11 14:56:15.020,22.0,,331
2019-12-11 14:56:17.298,22.2,,337
2019-12-11 14:56:19.575,22.1,,337
2019-12-11 14:56:21.852,22.1,,337
2019-12-11 14:56:24.133,22.1,,340
2019-12-11 14:56:26.411,22.0,,340
2019-12-11 14:56:28.688,22.1,,340
2019-12-11 14:56:30.965,22.0,,340
2019-12-11 14:56:33.243,22.2,,337
2019-12-11 14:56:35.519,22.0,,340
2019-12-11 14:56:37.798,22.1,,337
2019-12-11 14:56:40.074,22.0,,334
2019-12-11 14:56:42.352,22.0,,337
2019-12-11 14:56:44.628,22.0,,337
2019-12-11 14:56:46.906,22.0,,337
2019-12-11 14:56:49.182,22.0,,337
2019-12-11 14:56:51.460,22.0,,337
2019-12-11 14:56:53.737,22.1,,337
2019-12-11 14:56:56.015,22.1,,334
2019-12-11 14:56:58.291,22.0,,340
2019-12-11 14:57:00.569,22.1,,337
2019-12-11 14:57:02.850,22.0,,326
2019-12-11 14:57:05.128,22.0,,326
2019-12-11 14:57:07.405,21.9,,334
2019-12-11 14:57:09.682,22.0,,331
2019-12-11 14:57:11.959,22.0,,331
2019-12-11 14:57:14.237,22.0,,328
2019-12-11 14:57:16.514,22.0,,328
2019-12-11 14:57:18.792,22.0,,328
2019-12-11 14:57:21.071,22.0,,328
2019-12-11 14:57:23.346,22.0,,328
2019-12-11 14:57:25.623,22.0,,326
2019-12-11 14:57:27.901,22.0,,328
2019-12-11 14:57:30.177,22.0,,328
2019-12-11 14:57:32.455,22.0,,328
2019-12-11 14:57:34.732,22.1,,328
2019-12-11 14:57:37.009,22.0,,328
2019-12-11 14:57:39.286,22.0,,326
2019-12-11 14:57:41.564,22.0,,328
2019-12-11 14:57:43.841,22.0,,334
2019-12-11 14:57:46.118,22.0,,340
2019-12-11 14:57:48.397,22.0,,334
2019-12-11 14:57:50.673,22.0,,334
2019-12-11 14:57:52.954,22.0,,334
2019-12-11 14:57:55.231,22.0,,334
2019-12-11 14:57:57.509,22.0,,331
2019-12-11 14:57:59.786,22.0,,334
2019-12-11 14:58:02.063,22.1,,331
2019-12-11 14:58:04.341,22.0,,334
2019-12-11 14:58:06.618,22.0,,328
2019-12-11 14:58:08.894,22.1,,331
2019-12-11 14:58:11.172,22.1,,331
2019-12-11 14:58:13.451,22.1,,331
2019-12-11 14:58:15.726,22.1,,331
2019-12-11 14:58:18.003,22.1,,331
2019-12-11 14:58:20.281,22.1,,337
2019-12-11 14:58:22.559,22.1,,331
2019-12-11 14:58:24.836,22.1,,328
2019-12-11 14:58:27.114,22.2,,331
2019-12-11 14:58:29.391,22.2,,331
2019-12-11 14:58:31.669,22.2,,331
2019-12-11 14:58:33.946,22.1,,326
2019-12-11 14:58:36.226,22.1,,331
2019-12-11 14:58:38.503,22.1,,328
