date,temperature,humidity,luminosity
2019-12-04 15:03:45.179,22.4,32.9,282
2019-12-04 15:03:47.456,22.4,32.9,282
2019-12-04 15:03:49.734,22.4,32.9,280
2019-12-04 15:03:52.011,22.3,32.8,280
2019-12-04 15:03:54.288,22.3,32.8,280
2019-12-04 15:03:56.566,22.4,32.9,282
2019-12-04 15:03:58.842,22.4,32.9,280
2019-12-04 15:04:01.119,22.3,32.9,284
2019-12-04 15:04:03.397,22.4,33.0,282
2019-12-04 15:04:05.674,22.4,33.0,282
2019-12-04 15:04:07.951,22.4,33.0,282
2019-12-04 15:04:10.229,22.4,33.0,280
2019-12-04 15:04:12.506,22.4,33.0,282
2019-12-04 15:04:14.783,22.4,33.0,280
2019-12-04 15:04:17.060,22.5,33.1,282
2019-12-04 15:04:19.338,22.4,33.0,284
2019-12-04 15:04:21.615,22.4,33.1,282
2019-12-04 15:04:23.892,22.4,33.1,284
2019-12-04 15:04:26.170,22.4,33.1,284
2019-12-04 15:04:28.446,22.4,33.1,280
2019-12-04 15:04:30.725,22.4,33.2,282
2019-12-04 15:04:33.002,22.4,33.2,282
2019-12-04 15:04:35.278,22.4,33.3,280
2019-12-04 15:04:37.555,22.4,33.3,282
2019-12-04 15:04:39.833,22.4,33.2,280
2019-12-04 15:04:42.111,22.4,33.2,280
2019-12-04 15:04:44.388,22.5,33.3,280
2019-12-04 15:04:46.665,22.4,33.2,280
2019-12-04 15:04:48.942,22.4,33.2,282
2019-12-04 15:04:51.220,22.4,33.2,280
2019-12-04 15:04:53.497,22.4,33.2,282
2019-12-04 15:04:55.775,22.4,33.2,284
2019-12-04 15:04:58.051,22.4,33.2,286
2019-12-04 15:05:00.329,22.4,33.2,280
2019-12-04 15:05:02.606,22.4,33.2,282
2019-12-04 15:05:04.882,22.4,33.2,280
2019-12-04 15:05:07.161,22.4,33.2,280
2019-12-04 15:05:09.437,22.4,33.2,282
2019-12-04 15:05:11.714,22.4,33.2,280
2019-12-04 15:05:13.993,22.4,33.1,277
2019-12-04 15:05:16.270,22.4,33.1,280
2019-12-04 15:05:18.547,22.4,33.1,280
2019-12-04 15:05:20.823,22.4,33.1,280
2019-12-04 15:05:23.101,22.4,33.1,280
2019-12-04 15:05:25.379,22.4,33.1,280
2019-12-04 15:05:27.655,22.4,33.1,284
2019-12-04 15:05:29.933,22.4,33.1,280
2019-12-04 15:05:32.210,22.4,33.1,280
2019-12-04 15:05:34.488,22.4,33.1,282
2019-12-04 15:05:36.764,22.4,33.1,280
2019-12-04 15:05:39.042,22.4,33.1,282
2019-12-04 15:05:41.319,22.4,33.1,282
2019-12-04 15:05:43.600,22.4,33.1,280
2019-12-04 15:05:45.878,22.4,33.2,282
2019-12-04 15:05:48.155,22.4,33.2,284
2019-12-04 15:05:50.433,22.4,33.2,282
2019-12-04 15:05:52.710,22.4,33.2,282
2019-12-04 15:05:54.987,22.4,33.2,282
2019-12-04 15:05:57.264,22.4,33.2,282
2019-12-04 15:05:59.541,22.4,33.2,280
2019-12-04 15:06:01.818,22.4,33.2,282
2019-12-04 15:06:04.096,22.4,33.2,280
2019-12-04 15:06:06.374,22.4,33.2,280
2019-12-04 15:06:08.651,22.4,33.3,284
2019-12-04 15:06:10.928,22.4,33.3,282
2019-12-04 15:06:13.206,22.4,33.3,282
2019-12-04 15:06:15.482,22.4,33.3,280
2019-12-04 15:06:17.759,22.4,33.3,280
2019-12-04 15:06:20.036,22.4,33.3,282
2019-12-04 15:06:22.314,22.4,33.3,282
2019-12-04 15:06:24.591,22.4,33.3,282
2019-12-04 15:06:26.870,22.4,33.3,282
2019-12-04 15:06:29.145,22.4,33.4,282
2019-12-04 15:06:31.423,22.4,33.4,280
2019-12-04 15:06:33.700,22.4,33.4,282
2019-12-04 15:06:35.977,22.4,33.4,282
2019-12-04 15:06:38.256,22.4,33.4,282
2019-12-04 15:06:40.532,22.5,33.5,280
2019-12-04 15:06:42.811,22.5,33.5,282
2019-12-04 15:06:45.086,22.4,33.4,282
2019-12-04 15:06:47.364,22.5,33.5,280
2019-12-04 15:06:49.640,22.5,33.5,282
2019-12-04 15:06:51.918,22.5,33.5,284
2019-12-04 15:06:54.197,22.5,33.5,282
2019-12-04 15:06:56.472,22.5,33.5,280
2019-12-04 15:06:58.751,22.5,33.5,280
2019-12-04 15:07:01.028,22.5,33.5,280
2019-12-04 15:07:03.305,22.5,33.4,265
2019-12-04 15:07:05.582,22.5,33.4,273
2019-12-04 15:07:07.859,22.4,33.3,271
2019-12-04 15:07:10.137,22.5,33.4,269
2019-12-04 15:07:12.414,22.5,33.4,271
2019-12-04 15:07:14.691,22.5,33.4,271
2019-12-04 15:07:16.973,22.4,33.4,275
2019-12-04 15:07:19.249,22.5,33.9,271
2019-12-04 15:07:21.528,22.5,34.0,277
2019-12-04 15:07:23.805,22.5,34.2,271
2019-12-04 15:07:26.081,22.3,34.3,273
2019-12-04 15:07:28.359,22.6,34.7,275
2019-12-04 15:07:30.636,22.5,34.7,273
2019-12-04 15:07:32.913,22.5,34.6,271
2019-12-04 15:07:35.191,22.3,34.4,271
2019-12-04 15:07:37.468,22.5,34.5,269
2019-12-04 15:07:39.745,22.4,34.5,269
2019-12-04 15:07:42.023,22.4,34.5,273
2019-12-04 15:07:44.299,22.4,34.4,273
2019-12-04 15:07:46.577,22.4,34.3,273
2019-12-04 15:07:48.854,22.4,34.2,273
2019-12-04 15:07:51.133,22.4,34.1,275
2019-12-04 15:07:53.409,22.4,34.0,273
2019-12-04 15:07:55.686,22.4,33.9,271
2019-12-04 15:07:57.964,22.4,33.9,271
2019-12-04 15:08:00.240,22.4,33.8,271
2019-12-04 15:08:02.517,22.4,33.8,273
2019-12-04 15:08:04.795,22.4,33.7,271
2019-12-04 15:08:07.072,22.4,33.7,269
2019-12-04 15:08:09.350,22.4,33.8,269
2019-12-04 15:08:11.627,22.4,34.0,271
2019-12-04 15:08:13.904,22.4,34.0,273
2019-12-04 15:08:16.182,22.4,34.0,269
2019-12-04 15:08:18.458,22.4,33.9,273
2019-12-04 15:08:20.735,22.4,33.9,271
2019-12-04 15:08:23.013,22.4,33.8,269
2019-12-04 15:08:25.290,22.4,33.8,265
2019-12-04 15:08:27.568,22.4,33.8,269
2019-12-04 15:08:29.845,22.4,33.7,271
2019-12-04 15:08:32.123,22.5,33.8,269
2019-12-04 15:08:34.399,22.4,33.7,271
2019-12-04 15:08:36.676,22.4,33.7,271
2019-12-04 15:08:38.954,22.4,33.7,271
